customer_id,total_revenue,total_orders,total_items,first_purchase,last_purchase,avg_order_value
18102,580987.04,145,181645,2009-12-01 09:24:00,2011-12-09 11:50:00,558.64
14646,528602.52,151,367193,2009-12-02 16:52:00,2011-12-08 12:12:00,137.34
14156,313437.62,156,164325,2009-12-01 12:30:00,2011-11-30 10:54:00,77.62
14911,291420.81,398,147972,2009-12-01 11:41:00,2011-12-08 15:54:00,26.31
17450,244784.25,51,83914,2010-09-27 16:59:00,2011-12-01 13:29:00,582.82
13694,195640.69,143,188201,2009-12-04 15:26:00,2011-12-06 09:32:00,128.8
17511,172132.87,60,117174,2009-12-02 10:52:00,2011-12-07 10:12:00,92.15
16446,168472.5,2,80997,2011-05-18 09:52:00,2011-12-09 09:15:00,56157.5
16684,147142.77,55,104810,2009-12-07 12:56:00,2011-12-05 14:06:00,204.93
12415,144458.37,28,91447,2010-06-30 08:30:00,2011-11-15 14:22:00,156.0
15061,126389.02,127,74280,2009-12-01 12:18:00,2011-12-06 12:06:00,140.75
16029,117763.62,107,54450,2009-12-08 11:23:00,2011-11-01 10:27:00,318.28
17949,117314.08,118,60538,2009-12-02 11:07:00,2011-12-08 18:46:00,752.01
15311,114966.42,208,70149,2009-12-01 11:21:00,2011-12-09 12:00:00,26.7
13089,113416.91,203,58932,2009-12-02 15:44:00,2011-12-07 09:02:00,34.21
12931,92347.34,57,62906,2009-12-01 11:46:00,2011-11-18 12:39:00,423.61
14298,91194.49,82,100272,2009-12-11 13:49:00,2011-12-01 13:12:00,31.84
15769,88612.52,46,49068,2009-12-11 09:58:00,2011-12-02 13:52:00,397.37
12346,77556.46,12,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,2281.07
13798,75428.87,110,48187,2009-12-08 16:21:00,2011-12-08 15:51:00,104.62
15838,73205.5,34,64114,2009-12-15 09:51:00,2011-11-28 14:00:00,355.37
17841,68545.25,211,36584,2009-12-02 15:41:00,2011-12-08 12:07:00,5.51
16754,65500.07,29,63551,2010-03-08 11:32:00,2010-12-02 17:38:00,467.86
14096,65164.79,17,16352,2011-08-30 10:49:00,2011-12-05 17:17:00,12.75
14088,64036.8,16,15276,2010-10-14 19:46:00,2011-11-29 16:16:00,93.9
16422,61920.87,109,64225,2010-01-12 11:57:00,2011-11-22 14:00:00,88.71
17389,57215.33,61,17880,2009-12-04 12:06:00,2011-12-09 09:38:00,133.37
13081,56838.37,28,40077,2009-12-08 13:58:00,2011-11-28 10:54:00,24.93
16013,56078.44,84,25520,2009-12-08 10:24:00,2011-12-06 10:36:00,259.62
14680,55688.5,58,26894,2009-12-04 12:36:00,2011-11-14 16:59:00,43.71
13093,54144.25,55,25971,2009-12-04 10:32:00,2011-03-09 12:14:00,52.21
12748,53539.64,336,37109,2009-12-04 17:31:00,2011-12-09 12:20:00,8.13
17850,51208.87,155,21052,2009-12-05 12:28:00,2010-12-02 15:27:00,20.49
13408,50174.78,106,28675,2009-12-04 09:31:00,2011-12-08 09:05:00,60.74
13777,49638.26,61,23190,2009-12-02 09:47:00,2011-12-09 12:25:00,139.43
17404,47781.12,23,50679,2010-01-07 11:31:00,2011-12-05 16:26:00,163.63
13881,45179.1,43,29760,2010-03-04 14:41:00,2011-12-06 12:50:00,98.86
15749,44534.3,3,18028,2011-01-11 12:55:00,2011-04-18 13:20:00,4453.43
16705,43515.05,42,22302,2009-12-09 13:34:00,2011-12-09 12:08:00,62.97
12471,39918.19,79,16858,2009-12-07 10:41:00,2011-12-07 15:43:00,35.17
15098,39916.5,3,121,2011-06-10 15:22:00,2011-06-10 15:33:00,13305.5
15039,39141.48,93,17780,2009-12-10 11:39:00,2011-11-30 11:31:00,14.52
14031,39019.51,44,13783,2009-12-03 15:35:00,2011-12-02 17:13:00,52.03
17675,37642.48,70,16180,2009-12-10 16:10:00,2011-12-08 18:03:00,33.73
17381,36398.65,38,42879,2010-06-09 12:55:00,2011-12-01 11:59:00,223.3
12921,35233.24,74,21328,2009-12-01 13:43:00,2011-11-30 16:22:00,23.5
17677,35058.46,54,20921,2009-12-16 11:23:00,2011-12-08 09:56:00,51.18
12678,34281.18,21,22372,2010-01-07 16:46:00,2011-10-28 13:04:00,91.17
13902,34095.26,5,220600,2009-12-15 10:02:00,2010-03-17 13:09:00,541.19
13767,33903.57,73,14595,2009-12-01 10:52:00,2011-12-07 15:00:00,44.38
16210,33750.97,35,12397,2009-12-02 12:54:00,2011-12-08 12:36:00,131.84
16779,32809.03,53,19411,2009-12-03 13:03:00,2011-12-07 14:54:00,31.55
15856,32275.95,52,19550,2009-12-03 14:02:00,2011-12-05 17:09:00,29.29
14258,32051.34,25,17488,2009-12-04 08:36:00,2011-11-30 15:27:00,106.84
17428,31466.76,45,17356,2009-12-01 17:28:00,2011-12-09 09:45:00,43.7
17940,30306.79,16,85148,2009-12-03 12:31:00,2011-10-21 13:27:00,865.91
12709,30291.76,34,13772,2009-12-09 13:49:00,2011-11-24 15:38:00,61.82
14606,29951.37,192,15217,2009-12-03 12:40:00,2011-12-08 19:28:00,4.71
12681,29834.76,45,17011,2009-12-13 13:31:00,2011-11-25 11:33:00,20.95
13078,29018.06,57,12032,2009-12-01 09:06:00,2011-12-06 15:36:00,36.69
13098,28882.44,28,15968,2011-01-26 13:46:00,2011-12-08 14:14:00,50.49
17857,27347.04,24,19906,2010-03-08 12:09:00,2011-12-05 13:13:00,488.34
14527,27246.88,122,6647,2009-12-02 12:06:00,2011-12-07 12:19:00,10.32
16333,26626.8,22,32184,2011-02-03 10:50:00,2011-12-02 12:19:00,591.71
15513,26437.05,35,10477,2010-01-13 14:59:00,2011-11-06 14:36:00,48.33
17865,26312.19,46,12950,2009-12-01 10:49:00,2011-11-09 12:08:00,26.05
18251,26278.86,9,39639,2009-12-22 12:01:00,2011-09-13 15:03:00,243.32
13802,26259.11,19,14129,2010-02-16 10:11:00,2011-07-24 10:54:00,58.61
12731,25775.71,17,11641,2010-03-02 09:23:00,2011-11-16 11:59:00,65.59
14062,25585.65,24,12794,2009-12-10 14:28:00,2011-11-30 10:04:00,75.25
12744,25317.06,11,6994,2010-04-27 16:19:00,2011-10-19 11:18:00,74.68
12939,25264.8,20,10328,2010-01-12 11:27:00,2011-10-06 14:33:00,293.78
