stockcode,description,category,revenue,qty_sold,orders,avg_price,cancel_rate,revenue_share
M,Manual,Manual,339226.24,9629,784,394.32,38.7,1.6567
22423,Regency Cakestand 3 Tier,Regency,330590.32,26478,3918,14.19,7.95,1.6145
DOT,Dotcom Postage,Dotcom,309854.11,1415,1415,218.98,0.21,1.5132
85123A,White Hanging Heart T-Light Holder,White,257546.2,94142,5356,3.08,2.37,1.2578
23843,"Paper Craft , Little Birdie",Paper,168469.6,80995,1,2.08,50.0,0.8228
47566,Party Bunting,Party,148318.28,28200,2674,5.72,0.84,0.7243
85099B,Jumbo Bag Red Retrospot,Jumbo,145961.83,77280,3245,2.37,2.04,0.7128
84879,Assorted Colour Bird Ornament,Assorted,129324.49,80082,2807,1.86,0.66,0.6316
POST,Postage,Postage,125682.42,5363,1851,29.47,10.97,0.6138
22086,Paper Chain Kit 50'S Christmas,Paper,117760.29000000001,35084,2018,3.37,0.77,0.5751
23166,Medium Ceramic Top Storage Jar,Medium,81700.92000000001,78033,247,1.47,3.85,0.399
79321,Chilli Lights,Chilli,80540.88,15841,1135,6.29,1.81,0.3933
84347,Rotating Silver Angels T-Light Hldr,Rotating,71300.4,31409,756,3.34,0.76,0.3482
85099F,Jumbo Bag Strawberry,Jumbo,67985.77,36860,1830,2.29,1.39,0.332
23084,Rabbit Night Light,Rabbit,66870.03,30739,994,2.39,1.45,0.3266
21137,Black Record Cover Frame,Black,65189.29,18739,634,4.15,1.09,0.3184
21931,Jumbo Storage Bag Suki,Jumbo,61537.55,29182,2329,2.53,1.42,0.3005
21621,Vintage Union Jack Bunting,Vintage,60286.04,6900,1292,9.31,0.76,0.2944
22114,Hot Water Bottle Tea And Sympathy,Hot,59189.14,11677,1583,4.77,0.81,0.2891
85099C,Jumbo  Bag Baroque Black White,Jumbo,59057.61,30640,1868,2.41,1.36,0.2884
22910,Paper Chain Kit Vintage Christmas,Paper,58652.700000000004,18634,1427,3.3,1.16,0.2864
22112,Chocolate Hot Water Bottle,Chocolate,57981.94,11065,1721,5.85,0.74,0.2832
15056N,Edwardian Parasol Natural,Edwardian,57975.450000000004,11286,1033,6.82,1.98,0.2831
22411,Jumbo Shopper Vintage Red Paisley,Jumbo,57318.71,27281,2192,2.45,0.99,0.2799
82484,Wood Black Board Ant White Finish,Wood,56745.73,9831,1176,7.81,2.0,0.2771
22470,Heart Of Wicker Large,Heart,53506.130000000005,17773,1952,3.21,1.09,0.2613
22178,Victorian Glass Hanging T-Light,Victorian,52382.82,40081,1816,1.57,2.28,0.2558
21733,Red Hanging Heart T-Light Holder,Red,50346.490000000005,17575,1760,3.1,1.91,0.2459
22386,Jumbo Bag Pink Polkadot,Jumbo,50081.96,25235,1443,2.56,1.09,0.2446
22111,Scottie Dog Hot Water Bottle,Scottie,49771.94,9776,1689,5.73,0.86,0.2431
21929,Jumbo Bag Pink Vintage Paisley,Jumbo,49651.99,25608,1619,2.5,1.27,0.2425
22189,Cream Heart Card Holder,Cream,49300.94,16186,1299,4.43,1.06,0.2408
22469,Heart Of Wicker Small,Heart,48935.11,27908,2151,1.92,0.86,0.239
21843,Red Retrospot Cake Stand,Red,48564.29,4635,1187,12.26,9.2,0.2372
21731,Red Toadstool Led Night Light,Red,48315.84,28910,1537,2.24,1.52,0.236
22457,Natural Slate Heart Chalkboard,Natural,47288.23,15373,2046,3.51,1.48,0.2309
15056BL,Edwardian Parasol Black,Edwardian,47267.450000000004,9504,857,6.25,1.36,0.2308
21232,Strawberry Ceramic Trinket Box,Strawberry,47169.35,36628,2310,1.52,7.02,0.2304
21754,Home Building Block Word,Home,46516.99,7595,2066,6.59,0.95,0.2272
21181,Please One Person Metal Sign,Please,46249.07000000001,22865,1632,2.36,0.87,0.2259
22138,Baking Set 9 Piece Retrospot,Baking,45882.01,9366,1914,5.37,9.79,0.2241
20727,Lunch Bag  Black Skull.,Lunch,45655.27,26678,2351,2.02,1.84,0.223
21623,Vintage Union Jack Memoboard,Vintage,45402.18,6165,530,10.22,2.39,0.2217
22326,Round Snack Boxes Set Of4 Woodland,Round,44063.04,15380,1388,3.43,1.75,0.2152
84078A,Set/4 White Retro Storage Cubes,Set/4,43844.96,1128,328,45.86,5.75,0.2141
82494L,Wooden Frame Antique White,Wooden,43811.16,15301,1973,3.2,1.86,0.214
84029E,Red Woolly Hottie White Heart.,Red,42994.24,10628,1145,4.46,0.94,0.21
22197,Small Popcorn Holder,Small,42699.89,48561,1407,1.04,3.66,0.2085
21915,Red  Harmonica In Box,Red,42664.54,36289,1025,1.4,1.43,0.2084
21175,Gin + Tonic Diet Metal Sign,Gin,42613.98,20178,1609,2.54,0.71,0.2081
23298,Spotty Bunting,Spotty,42513.48,8320,1140,5.52,1.02,0.2076
20728,Lunch Bag Cars Blue,Lunch,42270.3,24596,2067,1.97,2.01,0.2064
48138,Doormat Union Flag,Doormat,42239.5,6302,991,8.48,0.77,0.2063
82482,Wooden Picture Frame White Finish,Wooden,41837.6,16914,2006,2.92,1.46,0.2043
22355,Charlotte Bag Suki Design,Charlotte,41580.97,27550,1403,1.18,1.74,0.2031
71477,Colour Glass. Star T-Light Holder,Colour,41099.79,14077,757,3.69,7.52,0.2007
20725,Lunch Bag Red Retrospot,Lunch,41043.02,22232,1837,2.12,2.52,0.2004
20713,Jumbo Bag Owls,Jumbo,40667.05,20814,1314,2.58,0.9,0.1986
22502,Picnic Basket Wicker 60 Pieces,Picnic,39619.5,61,2,649.5,1.69,0.1935
85066,Cream Sweetheart Mini Chest,Cream,38599.979999999996,3091,929,14.1,5.63,0.1885
20726,Lunch Bag Woodland,Lunch,38506.74,22118,1926,2.11,1.91,0.1881
48194,Doormat Hearts,Doormat,38428.12,6026,1033,8.79,0.51,0.1877
22960,Jam Making Set With Jars,Jam,38380.11,9019,1159,5.06,6.98,0.1874
21166,Cook With Wine Metal Sign,Cook,38138.86,19932,1425,2.28,1.17,0.1863
23284,Doormat Keep Calm And Come In,Doormat,38133.64,5487,728,8.78,0.95,0.1862
22720,Set Of 3 Cake Tins Pantry Design,Set,38108.89,7483,1385,5.83,4.98,0.1861
22629,Spaceboy Lunch Box,Spaceboy,37955.5,20807,1368,2.17,1.01,0.1854
22699,Roses Regency Teacup And Saucer,Roses,37682.8,12860,1410,3.62,4.14,0.184
20712,Jumbo Bag Woodland Animals,Jumbo,37499.37,17710,1415,2.74,1.24,0.1831
22727,Alarm Clock Bakelike Red,Alarm,36543.77,9234,1363,4.37,2.34,0.1785
22328,Round Snack Boxes Set Of 4 Fruits,Round,35922.51,12875,1154,3.19,2.01,0.1754
20685,Doormat Red Retrospot,Doormat,35198.96,5038,900,8.84,0.69,0.1719
21755,Love Building Block Word,Love,34836.020000000004,5643,1696,6.68,0.81,0.1701
22379,Recycling Bag Retrospot,Recycling,34640.84,15765,1570,2.9,0.5,0.1692
22197,Popcorn Holder,Popcorn,34288.67,36749,803,1.02,3.66,0.1675
48185,Doormat Fairy Cake,Doormat,34191.53,5095,597,9.78,0.8,0.167
22666,Recipe Box Pantry Yellow Design,Recipe,33682.62,10706,1657,3.6,3.63,0.1645
21523,Doormat Fancy Font Home Sweet Home,Doormat,33466.26,5075,713,9.24,0.36,0.1634
22630,Dolly Girl Lunch Box,Dolly,33380.83,18058,1333,2.3,1.46,0.163
